Fecha_venta,Coordenadas,Piso,Tipo,M2,Valor_M2,Precio_lista,Precio_venta,Canje,Valor_canje,M2_canje,Estado_obra
28/4/2023,"-32.9384479, -60.6414404",1,2,81.5,1412.77,116259.00,115140.37,0,,,2
28/4/2023,"-32.9384479, -60.6414404",0,-2,11,1575.60,17500.00,17331.62,0,,,2
28/4/2023,"-32.9384479, -60.6414404",0,-2,11,1575.60,17500.00,17331.62,0,,,2
28/4/2023,"-32.9468885, -60.6623848",6,0,38,1026.32,46000.00,39000.00,0,,,2
28/4/2023,"-32.9350416, -60.6470425",4,3,149,1730.49,296000.00,257843.75,0,,,1
28/4/2023,"-32.9350416, -60.6470425",-1,-1,2.3,1136.21,3000.00,2613.28,0,,,1
28/4/2023,"-32.9350416, -60.6470425",0,-2,11,1663.00,21000.00,18292.97,0,,,1
28/4/2023,"-32.9384479, -60.6414404",2,2,82,1474.05,120872.00,120872.00,0,,,2
5/5/2023,"-32.9463111, -60.6617054",11,3,153.5,1420.20,218000.00,218000.00,1,48000.00,34,4
9/5/2023,"-32.9430399, -60.6358630",-1,-2,11,1510.01,20790.00,16610.06,0,,,3
9/5/2023,"-32.9430399, -60.6358630",-1,-2,11,1510.01,20790.00,16610.06,0,,,3
9/5/2023,"-32.9430399, -60.6358630",7,3,148,1381.96,256000.00,204529.87,0,,,3
10/5/2023,"-32.9430399, -60.6358630",-1,-2,11,1396.95,16740.00,15366.40,1,11525.89,7.8,3
10/5/2023,"-32.9430399, -60.6358630",1,2,114.5,1171.49,146126.00,134135.60,1,119974.10,81.19,3
17/5/2023,"-32.9521903, -60.6306774",1,2,67,1343.28,105000.00,90000.00,0,,,4
17/5/2023,"-32.9380520, -60.6605126",0,-2,12.5,1040.00,16500.00,13000.00,0,,,4
24/5/2023,"-32.9430399, -60.6358630",5,2,79,1638.42,129435.00,129435.00,0,,,3
29/5/2023,"-32.9430399, -60.6358630",1,2,111,1160.00,157000.00,128760.00,0,,,3
31/5/2023,"-32.9350416, -60.6470425",0,-2,11,1780.39,21000.00,19584.27,1,5055.46,3.48,1
